driverId,week,hours-logged,miles-logged
279,7,67,1600
1007,10,50,2300
240,44,50,100
427,34,58,1600
537,5,66,2400
333,11,63,2900
522,20,50,2900
408,39,64,700
443,10,70,2000
492,28,65,1900
50,21,54,1700
306,16,52,1800
882,52,50,3100
550,13,58,3300
125,39,72,3100
500,14,53,1900
216,8,55,3000
985,16,66,3300
802,23,79,2300
268,31,70,1300
948,27,57,3500
476,19,74,600
738,4,78,2500
325,4,71,2600
687,24,68,2700
135,3,56,2600
309,46,74,3200
66,38,78,600
997,48,60,1500
547,13,52,3400
299,45,62,800
415,5,54,2000
418,51,57,3100
610,12,59,2900
318,51,51,100
603,39,77,3400
876,18,72,500
496,17,73,800
15,30,76,1000
270,6,77,400
177,6,61,700
527,25,63,2000
327,43,71,1200
685,22,53,1800
368,29,65,900
823,51,61,700
473,28,62,2400
774,3,51,400
956,12,58,0
871,51,79,1200
536,8,71,1600
184,52,52,700
175,2,50,2700
306,43,70,2800
41,11,67,3400
280,35,51,3800
525,40,58,3100
491,37,80,100
31,37,78,2400
250,20,60,900
16,8,57,1600
74,15,73,2100
730,44,68,600
1004,23,68,1000
756,51,58,2100
829,21,74,300
906,2,77,500
442,6,74,2900
145,38,67,1900
358,12,54,400
245,19,74,2600
922,36,50,100
501,11,56,3400
418,1,61,1000
683,51,68,1100
96,46,53,700
23,23,69,3300
583,5,74,400
366,26,55,300
742,6,54,1800
781,9,73,3200
825,12,57,3500
333,3,65,800
408,10,66,3000
26,7,58,3200
189,29,64,2000
758,5,67,100
472,49,57,800
245,4,57,2700
267,32,62,500
806,8,60,800
369,6,73,600
674,16,71,2200
837,26,78,2000
794,30,78,1400
315,11,66,400
682,51,55,3800
174,8,79,3300
546,52,71,2600
685,35,70,1300
996,24,66,1900
51,47,63,100
623,2,73,1300
894,6,72,2100
228,19,77,1300
931,45,69,2800
989,52,57,100
66,23,67,800
780,48,74,1900
480,33,69,1300
531,7,78,700
154,8,51,400
421,45,57,1800
824,12,54,1400
416,52,74,3500
965,41,54,1900
176,7,66,2100
464,41,69,800
154,45,55,1200
769,2,59,600
49,49,60,2000
268,21,72,500
117,1,71,3800
404,22,62,2500
628,23,70,400
852,35,70,100
877,14,67,3500
90,9,69,300
356,17,53,3600
483,38,62,1600
360,5,75,3400
562,13,74,100
941,12,53,2900
861,33,67,1600
298,33,59,500
308,11,72,2100
144,42,65,900
189,42,80,1700
945,25,76,600
788,48,70,1200
156,9,72,3500
883,35,68,1400
710,49,51,3800
768,36,78,2500
412,7,61,3700
401,48,55,3200
665,52,67,2300
99,12,77,2800
1009,37,66,2500
530,32,52,2800
45,31,54,200
159,26,66,1000
506,11,62,1000
639,42,65,3700
43,2,65,300
833,51,50,4000
922,46,69,900
160,31,65,1200
692,43,57,3600
257,11,80,2500
686,2,63,2900
605,5,54,1300
79,18,64,1200
859,10,64,3900
57,27,62,2800
506,2,62,700
378,46,70,0
81,26,68,1900
945,51,52,1900
787,23,66,4000
799,23,55,3900
458,22,59,700
247,21,55,2500
684,25,57,0
938,18,71,2200
641,38,63,2000
279,46,60,3000
390,36,75,2400
830,37,77,100
896,37,56,900
57,29,50,100
740,28,71,2100
70,30,56,3400
864,11,62,100
750,50,51,2700
434,34,72,1000
634,30,59,2300
457,11,52,2300
351,33,63,3100
453,34,63,1500
696,1,51,2600
79,5,55,3200
149,27,63,3400
749,26,79,1800
83,30,67,700
926,44,73,400
750,25,74,3900
37,31,76,1400
664,29,54,2400
675,28,57,500
160,41,72,700
128,30,66,3300
912,35,78,1400
658,11,78,3000
48,24,58,400
613,5,73,500
121,29,76,1300
141,31,56,1200
676,20,58,3300
14,46,61,2100
853,5,50,1300
591,27,68,800
420,42,56,300
697,39,53,4000
658,8,60,1900
746,1,62,4000
894,26,60,2700
775,39,51,3800
727,36,58,1800
445,9,55,1100
845,35,62,1700
968,39,73,1700
591,4,57,3500
826,49,57,0
844,24,68,500
359,11,55,0
318,51,73,1000
733,18,78,3300
393,23,70,2600
193,23,56,800
330,4,80,1000
106,34,60,300
43,27,65,700
937,38,53,2400
681,40,66,3300
943,26,67,2000
648,3,75,100
871,34,58,100
711,32,55,1800
495,14,61,300
137,14,62,700
110,42,70,1000
730,20,61,3400
173,23,73,3300
623,6,51,1000
923,19,77,1500
685,4,69,1700
363,43,61,1700
422,32,56,100
104,32,64,1600
520,6,72,2300
993,28,62,3500
418,12,59,0
89,22,68,2200
695,39,73,1600
877,47,57,100
296,29,78,2800
666,16,73,800
785,19,65,2500
975,49,64,200
989,24,70,4000
365,38,69,200
47,44,66,1300
875,27,52,400
896,36,65,3400
901,38,67,2900
777,42,59,2900
322,16,53,3300
23,38,60,2100
131,12,68,3000
259,13,68,2900
1006,5,59,0
202,13,50,2100
394,45,71,100
745,23,72,3500
571,12,68,2400
483,29,53,2300
258,18,52,800
958,32,53,4000
140,26,75,3600
160,1,72,2100
888,33,70,0
927,47,52,900
395,41,52,1300
744,4,66,3200
879,38,74,0
660,36,65,3000
744,7,53,100
415,8,63,2700
624,35,71,300
32,27,51,1000
511,3,68,600
693,48,78,700
328,42,74,3500
195,44,66,3300
658,38,61,2200
963,15,75,700
911,19,77,1800
145,40,55,2900
989,5,57,3600
52,31,75,4000
680,19,55,1700
250,48,70,3400
811,3,63,900
207,30,77,3400
774,5,52,2200
920,6,62,3100
286,32,53,3800
198,11,79,3400
818,19,66,2800
491,16,74,700
454,12,73,2500
462,24,51,3000
371,14,51,400
487,50,78,3200
825,10,62,200
68,27,72,2400
438,30,57,2400
862,15,50,3600
707,18,51,1600
898,26,63,200
540,19,77,4000
423,27,50,300
280,4,62,2400
165,49,62,1100
673,9,80,200
164,50,66,1600
521,22,71,200
868,41,64,1800
51,41,67,800
21,42,51,1000
720,18,70,2800
91,8,57,4000
1000,23,76,100
402,12,68,1300
735,15,79,2100
834,15,80,100
407,27,50,2500
191,3,57,2200
374,9,60,3200
191,39,76,1900
645,42,65,1300
661,47,67,2300
113,46,57,1000
422,8,71,3300
799,7,52,500
484,23,73,100
353,12,61,2000
107,12,62,4000
1000,9,60,800
73,17,66,3400
750,10,74,600
396,43,78,600
168,51,78,2200
878,36,75,200
434,31,78,2700
320,51,55,2300
951,52,64,3100
466,19,64,1600
303,19,59,2000
657,5,63,3400
536,35,52,3100
647,50,53,3400
46,11,59,3100
686,13,73,1900
342,32,72,2400
508,31,56,2400
149,8,66,0
474,32,60,600
989,21,61,2800
315,22,50,600
891,10,72,3300
457,9,73,1100
17,23,79,2500
353,5,73,500
539,39,72,200
131,31,58,2700
895,28,58,2400
825,16,75,400
103,17,80,2700
949,31,63,1800
661,34,66,300
522,34,79,500
417,27,73,2100
746,37,58,1500
1008,14,73,3900
535,45,68,100
234,36,75,3400
414,47,60,1000
445,51,69,4000
397,11,66,1700
714,9,64,2900
531,30,56,3400
887,40,78,0
244,2,58,700
995,24,63,1800
533,51,55,3400
197,43,71,0
269,30,66,1300
428,19,65,2500
599,27,58,2600
568,13,80,500
418,40,57,600
238,33,78,1100
586,28,60,1700
542,11,66,900
629,31,55,3800
406,25,60,2000
506,17,59,2300
579,20,54,2900
64,26,54,3100
932,12,54,3100
22,38,69,3200
386,25,70,500
472,5,53,1100
452,44,59,2000
118,21,74,2400
584,37,77,1100
938,26,57,1200
556,11,74,700
552,30,73,3100
672,2,80,2200
15,41,73,1700
379,46,52,3000
671,17,66,2400
533,2,67,2500
661,41,57,1000
773,27,59,0
48,23,73,2000
371,51,76,3100
228,34,70,1400
855,28,74,1700
410,30,72,1200
941,11,54,2600
712,40,53,3700
794,43,74,800
244,30,50,1200
959,14,65,2900
676,19,61,3200
91,37,50,2600
36,49,51,0
356,19,54,3000
522,50,71,2700
149,43,74,1700
414,45,60,1600
295,27,78,2100
253,29,60,2100
56,16,73,1200
721,49,79,3000
739,13,78,2800
214,19,52,3000
463,16,76,3300
923,16,77,2000
899,27,59,1400
407,13,77,1500
713,15,58,300
855,17,69,2700
353,2,58,3400
164,3,63,2600
75,40,53,3500
896,19,56,4000
436,34,63,2300
671,29,64,1000
427,36,72,3700
401,2,74,4000
23,7,56,0
898,13,63,300
278,10,68,100
886,38,78,1400
427,14,65,2900
244,39,59,900
349,27,75,3600
684,50,71,3900
986,45,57,1200
90,33,56,2800
312,18,80,300
314,22,66,3600
160,31,64,3300
677,17,78,800
553,24,56,2200
87,47,52,3100
123,35,60,600
847,33,75,3600
905,14,76,600
624,23,54,3100
143,31,78,3000
158,11,74,700
378,36,73,1700
279,13,73,3900
459,16,70,3600
98,4,76,2000
343,17,64,0
692,6,53,3200
422,1,59,1400
990,7,63,3300
458,36,69,3900
393,9,68,3700
849,24,80,900
780,33,57,400
852,32,75,2000
350,7,79,100
36,3,64,2600
110,43,57,700
243,7,77,2000
686,39,56,1000
397,35,65,3800
274,40,78,3100
75,8,50,500
194,7,76,800
178,41,69,0
596,50,52,900
373,37,76,1800
342,22,66,1900
417,32,79,600
320,36,76,3400
468,5,77,2700
802,29,78,3300
369,32,71,1100
908,19,80,300
826,9,67,3600
190,11,57,2600
389,48,67,2300
749,28,56,2600
102,18,74,3300
332,30,57,2700
155,17,51,2800
603,19,77,1400
815,52,80,3100
407,21,77,1900
460,11,55,1300
407,49,52,3700
101,30,75,2500
678,15,74,100
204,3,52,2000
517,38,53,900
598,20,51,600
310,9,71,500
739,25,62,2300
214,40,58,3100
74,29,74,0
129,45,64,2600
918,30,75,300
303,9,57,3400
968,1,77,3600
377,37,50,4000
423,48,79,3200
935,10,67,2200
456,4,66,4000
16,31,50,1500
193,15,56,2800
709,26,80,2800
822,18,67,3600
13,7,69,1600
954,48,60,2600
409,20,56,3100
845,28,50,3700
548,9,63,1900
682,47,65,700
654,3,71,2200
161,40,64,1500
507,9,77,1100
535,21,59,3400
666,17,58,3700
810,22,75,1300
396,9,63,3900
969,19,64,400
250,43,59,1100
313,17,72,2600
604,25,62,200
422,23,55,900
870,3,70,400
882,44,56,400
419,7,53,1400
589,29,64,2500
